Name,Ratings,Niche,Address,Timings,Address,Contact no,Website Link,R8c4Qb,Jn12ke src
,,,,,,,,,
,,,,,,,,,
Temptation Realty inc,5,Real estate agency,"122/2, 1st Floor, Brigade Ternia, Landmark-next to Ibaco Icecream shop, Brigade Rd, opposite of Brigade Tower",· Opens 10 am Mon,·,097415 55559,http://temptationrealtyinc.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Feroze estate agency - Furnished office space for rent in bangalore,4.2,Office space rental agency,·,· Opens 9:30 am Mon,"Reliance Digital, 74, 1st floor unit 1 Prestige feroze, Landmark, Cunningham Rd",098450 18800,http://www.ferozes.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
The Bangalore Real Estate Co.,4.7,Real estate consultant,·,· Opens 9:30 am Mon,"Suite 2B, Redifice Signature, 6, Bowring Hospital Rd",080 4945 7777,http://www.blrrealestate.com/,Website,
Roof 360 Real Estate and Properties,4.9,Real estate agency,"No. 68/1, 2nd Floor, Coles Rd",· Opens 8 am,·,098450 22178,http://www.roof360.in/,Website,
Ilias Estates & Properties,4.9,Real estate agency,"No. 84, ""Barton Center"", Unit No. 606, 6th Floor,M.G. Road, Bengaluru 560 001. Telephone, Bengaluru",· Opens 9:30 am Mon,·,098805 12703,,Directions,
Shah Real Estate,4.9,Real estate rental agency,5/1 Ali Manzil 20th h cross Ejipura,· Opens 9 am,·,091485 95789,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Kimia Realty Office Space In Bangalore - Warehouse Space In Bangalore,5,Commercial real estate agency,"51, Infantry Rd, above Linen Club, opposite Gulistan Shadi Mahal",· Opens 10 am,·,098453 08005,http://kimiarealty.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Full Basket Property Services Pvt Ltd | Bangalore,4.9,Real Estate Builders & Construction Company,"3rd Floor, Beijing Bites Building Sigma Trident, Hayes Road Entrance, Off, Richmond Rd",· Opens 10 am Mon,·,090190 00400,https://www.fullbasketproperty.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
Friendly Realtors and Property Management,4.8,Real estate consultant,·,· Opens 9:30 am Mon,"19/8, Davis Rd",099015 55100,https://www.friendlyrealtors.in/,Website,
Sri Balaji Real Estate,4.8,Real estate agency,"No. 1, 1st cross, 1st main Ashwini Layout, Ejipura",· Opens 8:30 am,·,099022 09306,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
PROPERTY BRICKS PVT LTD,4.6,Real estate consultant,1,,"158, Lavelle Road, opp. to Hulkul Brigade Centre",091413 36275,https://propertybricks.co.in/,Website,
BrokerInBlue - Professional Real Estate Brokers,4.7,Real estate agency,·,· Opens 10 am Mon,"#82, 80 Feet Rd",077609 47777,https://brokerinblue.com/,Website,
TOPLINE ESTATES,4.9,Real estate agent,"costa square, 80/2 D, North Rd",,,098454 64535,http://www.toplineestates.com/,Website,https://ssl.gstatic.com/local/servicebusiness/default_user.png
S B Real Estate,4.9,Real estate rental agency,"#12, 2nd Cross Rd",· Opens 8 am,·,089512 37776,,Directions,https://ssl.gstatic.com/local/servicebusiness/default_user.png
