Business Name,Address,Rating,Reviews,Business Type,Website,Phone,Google Maps Link
INFANTRY HOMES LLP,"INFANTRY HOMES LLP
4.8
Real estate consultant · 4th Floor, 71, Railway Parallel Rd
Closed · Opens 10:30 am · 090715 67747",4.8,,,,,https://www.google.com/maps/place/INFANTRY+HOMES+LLP/data=!4m7!3m6!1s0x3bae176673c63059:0xa7fe0310a81d31c1!8m2!3d12.9912532!4d77.5795389!16s%2Fg%2F11fhr5lxs5!19sChIJWTDGc2YXrjsRwTEdqBAD_qc?authuser=0&hl=en&rclk=1
Feroze estate agency - Furnished office space for rent in bangalore,"Feroze estate agency - Furnished office space for rent in bangalore
4.2
Office space rental agency ·  · Reliance Digital, 74, 1st floor unit 1 Prestige feroze, Landmark, Cunningham Rd
Closed · Opens 9:30 am · 098450 18800",4.2,,,,,https://www.google.com/maps/place/Feroze+estate+agency+-+Furnished+office+space+for+rent+in+bangalore/data=!4m7!3m6!1s0x3bae1669d1badb63:0x9078551333420d01!8m2!3d12.9887938!4d77.592863!16s%2Fg%2F1tjdpsh0!19sChIJY9u60WkWrjsRAQ1CMxNVeJA?authuser=0&hl=en&rclk=1
S S B Properties,"S S B Properties
4.8
Real estate consultant · 32, Sirur Park Rd
Closed · Opens 10 am · 096111 07558",4.8,,,,,https://www.google.com/maps/place/S+S+B+Properties/data=!4m7!3m6!1s0x3bae162348520975:0xf19b6e9db4f2abcf!8m2!3d12.9932041!4d77.572668!16s%2Fg%2F1tj2lxhl!19sChIJdQlSSCMWrjsRz6vytJ1um_E?authuser=0&hl=en&rclk=1
Hiland Realty Private Limited,"Hiland Realty Private Limited
3.6
Real estate developer · Second Floor, 55, Railway Parallel Rd
Closed · Opens 10 am · 080 4115 4499",3.6,,,,,https://www.google.com/maps/place/Hiland+Realty+Private+Limited/data=!4m7!3m6!1s0x3bae163cf78811f7:0x67557edc4f4ef2fd!8m2!3d12.9892581!4d77.5782196!16s%2Fg%2F1ygbb80ms!19sChIJ9xGI9zwWrjsR_fJOT9x-VWc?authuser=0&hl=en&rclk=1
S.V.Complex,"S.V.Complex
4.3
Commercial real estate agency · #209, 1st Main Rd",4.3,,,,,https://www.google.com/maps/place/S.V.Complex/data=!4m7!3m6!1s0x3bae174ba8ff666b:0x5eef2abfef4ea508!8m2!3d12.9894945!4d77.5743973!16s%2Fg%2F11mtsf5g5t!19sChIJa2b_qEsXrjsRCKVO778q714?authuser=0&hl=en&rclk=1
Maxworth Realty India ltd,"Maxworth Realty India ltd
4.0
Real estate agency · KMP House, 12/2, near Shivananda Circle
Closed · Opens 9 am · 088808 44455",4,,,,,https://www.google.com/maps/place/Maxworth+Realty+India+ltd/data=!4m7!3m6!1s0x3bae161668aa7f3f:0xb7f05d8ac085c09e!8m2!3d12.9870195!4d77.5779446!16s%2Fg%2F12m9lgg00!19sChIJP3-qaBYWrjsRnsCFwIpd8Lc?authuser=0&hl=en&rclk=1
Sapthagiri Enterprises BDA,"Sapthagiri Enterprises BDA
4.4
Real estate agency · 12th Block, BDA HEAD OFFICE, 10/1, 5th Main
Open · Closes 12 am · 094480 68073",4.4,,,,,https://www.google.com/maps/place/Sapthagiri+Enterprises+BDA/data=!4m7!3m6!1s0x3bae16388f81ff0b:0xdf7c6cee2f71cc58!8m2!3d12.9973107!4d77.58399!16s%2Fg%2F11bbrj6jt0!19sChIJC_-BjzgWrjsRWMxxL-5sfN8?authuser=0&hl=en&rclk=1
Assetz Property Group,"Assetz Property Group
4.5
Real Estate Builders & Construction Company ·  · 30, Crescent Rd
Closed · Opens 9:30 am · 078295 54411",4.5,,,,,https://www.google.com/maps/place/Assetz+Property+Group/data=!4m7!3m6!1s0x3bae166f45782855:0x50f9b158ad3dfa48!8m2!3d12.9850294!4d77.5807516!16s%2Fg%2F1td_93ct!19sChIJVSh4RW8WrjsRSPo9rVix-VA?authuser=0&hl=en&rclk=1
7Hills Properties,"7Hills Properties
4.1
Real estate agency · 89, Railway Parallel Rd
080 2346 0333",4.1,,,,,https://www.google.com/maps/place/7Hills+Properties/data=!4m7!3m6!1s0x3bae163e76cc909f:0xf47fd1378c7ef88e!8m2!3d12.9900527!4d77.5789897!16s%2Fg%2F11q_7jt0y2!19sChIJn5DMdj4WrjsRjvh-jDfRf_Q?authuser=0&hl=en&rclk=1
Interspace Realtors,"Interspace Realtors
5.0
Real estate rental agency · Saleh Center, Cunningham Cres Rd
Closed · Opens 9:30 am · 098448 96354",5,,,,,https://www.google.com/maps/place/Interspace+Realtors/data=!4m7!3m6!1s0x3bae1730d8315fef:0x5da0eae6bdbf0686!8m2!3d12.9876437!4d77.5949225!16s%2Fg%2F11l6brh3g_!19sChIJ718x2DAXrjsRhga_vebqoF0?authuser=0&hl=en&rclk=1
Estatesquad Services Pvt Ltd,"Estatesquad Services Pvt Ltd
4.9
Real estate consultant · 19, 2nd Cross, Chinnaswamy Mudaliar Road, Queens Rd
Closed · Opens 10 am · 096638 39991",4.9,,,,,https://www.google.com/maps/place/Estatesquad+Services+Pvt+Ltd/data=!4m7!3m6!1s0x3bae155fd3cd6119:0x4244a1fa370c53bf!8m2!3d12.9854851!4d77.5980973!16s%2Fg%2F11n8930zwg!19sChIJGWHN018VrjsRv1MMN_qhREI?authuser=0&hl=en&rclk=1
Inbengaluru Properties,"Inbengaluru Properties
4.8
Property management company · 2 nd, 79/2, Nandi Durga Rd, above Apollo Pharmacy
Closed · Opens 9 am · 096865 47123",4.8,,,,,https://www.google.com/maps/place/Inbengaluru+Properties/data=!4m7!3m6!1s0x3bae1755f77879d3:0x796c5abf0c30749b!8m2!3d12.9981163!4d77.6008098!16s%2Fg%2F11py9sshl4!19sChIJ03l491UXrjsRm3QwDL9abHk?authuser=0&hl=en&rclk=1
Rita Real Estate,"Rita Real Estate
3.0
Real estate agent · Rudra Chambers,Between 8th cross and 9th cross, 4/1, 4th Main Rd
Closed · Opens 12 pm · 080 2346 7559",3,,,,,https://www.google.com/maps/place/Rita+Real+Estate/data=!4m7!3m6!1s0x3bae1625f76a398f:0x10dd90223bcbe689!8m2!3d12.9997177!4d77.5685378!16s%2Fg%2F11b6367yrh!19sChIJjzlq9yUWrjsRiebLOyKQ3RA?authuser=0&hl=en&rclk=1
REAL ESTATE AGENT - BUY/RENT/SALE PROPERTIES,"REAL ESTATE AGENT - BUY/RENT/SALE PROPERTIES
5.0
Real estate agent ·  · 3rd floor, Premium Business Center, unit 54, Lavelle Road
Closed · Opens 10 am",5,,,,,https://www.google.com/maps/place/REAL+ESTATE+AGENT+-+BUY%2FRENT%2FSALE+PROPERTIES/data=!4m7!3m6!1s0x3bae1778fa48015d:0xc93af55e45b1ce5f!8m2!3d12.9680292!4d77.5962965!16s%2Fg%2F11xz0by0_b!19sChIJXQFI-ngXrjsRX86xRV71Osk?authuser=0&hl=en&rclk=1
ADHVIKH HOMES,"ADHVIKH HOMES
4.0
Real Estate Builders & Construction Company · 12, Railway Parallel Rd
080 2344 6888",4,,,,,https://www.google.com/maps/place/ADHVIKH+HOMES/data=!4m7!3m6!1s0x3bae170b2d2c26f5:0x6f9ecb3123f7ac17!8m2!3d12.985767!4d77.5761326!16s%2Fg%2F11rhwd3kbv!19sChIJ9SYsLQsXrjsRF6z3IzHLnm8?authuser=0&hl=en&rclk=1
YASHAS REAL ESTATE,"YASHAS REAL ESTATE
4.2
Real estate agency · 59/A, 10th Main Rd, opposite NKGSB BANK
Closed · Opens 9 am · 098455 49101",4.2,,,,,https://www.google.com/maps/place/YASHAS+REAL+ESTATE/data=!4m7!3m6!1s0x3bae3d362528a6ff:0x300e503067c9b6cc!8m2!3d12.9886546!4d77.5561137!16s%2Fg%2F11rcqh2r3p!19sChIJ_6YoJTY9rjsRzLbJZzBQDjA?authuser=0&hl=en&rclk=1
